case,submissionOrder,finalizedLedgerOrder,authorizationBlockNumber,authorizationTransactionIndex,revocationBlockNumber,revocationTransactionIndex,consentVersionSeen,consentHashSeen,authorizationOutcome,rejectionReason,authorizationTxHash,revocationTxHash,expectedObservedMatch
"1-authorization-finalized-before-revocation","authorization,revokeConsent","authorization,revokeConsent","10","0","11","0","1","0x4f416e108a20889da92a720dcfbf900f9dffc912b7f6802b111070ce26ff8841","authorized","","0x4d5de6a5b0cfe6e635d0b6aac3cc6f296ca5108284aec49cd08134a206fb7d52","0xf078a03723dd1084bd972794a75f5b48895b15d9a3d77ff0722aa60c3fa81660",true
"2-revocation-finalized-before-authorization","revokeConsent,authorization","revokeConsent; authorization rejected before inclusion","","","21","0","2","0x97f1ea916010ecf831f30f7580b3078919247624bf596eeb236e6cb51c32aece","denied","VCEMAudit: consent inactive","","0x51cf84440202f052b8e1e6ae8580bbbe7a105ae2819f82209cb1d7d0a2a55c5b",true
"3-request-prepared-before-revocation-processed-after","revokeConsent,authorization","revokeConsent; authorization rejected before inclusion","","","32","0","2","0xa6d717c90308506584ce4c2f4f41694979148fac73834f9f53b2fd2bc53d1ce8","denied","VCEMAudit: consent inactive","","0x150cab254f0727c2cc52c58ab0737e5e5815d937439773e8e16b2ce9809d7a43",true
"4-superseded-consent-after-update","updateConsent,stale authorization","updateConsent; authorization rejected before inclusion","","","43","0","2","0xf8698d3495dbadbed23dd76d003d70228d84de798a842748f2f090c38a88802c","denied","VCEMAudit: outdated consent hash","","0xf2c6ab2ba5daf8ab6412abcc2a0eb29410b87e4f1f4639d7897fe7fea046bae5",true
"5A-same-block-authorization-before-revocation","authorization,revokeConsent","authorization,revokeConsent","54","0","54","1","1","0xd58ce0ca404f2846d1df72227ff9e8b366bf93a3482dbca50a1271c97f9215e2","authorized","","0xe74b03eca0d295dd487cbca406d303bafa262c88d00851db1a0e1c3a996c4191","0x05d19935aa0ed501bb807d5b10fdff4badd6429bc87b129624f63397ce3184a5",true
"5B-same-block-revocation-before-authorization","revokeConsent,authorization","revokeConsent,authorization","64","1","64","0","2","0x1431d1187c7565d867d3459962db6c759dd28f92b2b03446c79635c75122de03","denied","VCEMAudit: consent inactive","0x38383fb940d5858db51ea3b2914d3fa9bd4383f0505beca4cbc7e957cb820c1e","0xa373b8b724faaea349bbe9d1053a143e238afc9856a21748b1bd0dbe9356852d",true
"5C-revocation-submitted-first-authorization-ordered-first","revokeConsent,authorization","authorization,revokeConsent","74","0","74","1","1","0x2ac87d4bfbcf9eafde32ce3fd679ce4b720a314acbf297871370e4433247803c","authorized","","0x4f148ba4e2d63d3570022d0c81b0c9a16b58e61ac6bfc3e0ebb15d27142f4238","0xb1e24e5dff6de6c392b582f57625c3ac9e618351a7da42cbf1c588e3c463f6f6",true
"5D-authorization-submitted-first-revocation-ordered-first","authorization,revokeConsent","revokeConsent,authorization","84","1","84","0","2","0xc79673df6c02e25161e0556a779a028d0d6c61fdaf964332bfb414d6f42220ae","denied","VCEMAudit: consent inactive","0x1141baa9e0967d103b6c7bc6856d1323a7efb20d354c5baccb90ce2ec6e2ebee","0xaa7ff31c57674cbe63292bcb1d31d9096654c152ee8f223c0038a4503e067c3f",true
