case,submissionOrder,finalizedLedgerOrder,authorizationBlockNumber,authorizationTransactionIndex,revocationBlockNumber,revocationTransactionIndex,consentVersionSeen,consentHashSeen,authorizationOutcome,rejectionReason,authorizationTxHash,revocationTxHash,expectedObservedMatch
"1-authorization-finalized-before-revocation","authorization,revokeConsent","authorization,revokeConsent","10","0","11","0","1","0x40aca0a633dc67c991055d08c876699feb7e9bcaeb201bdd1948d4c25d8dc02c","authorized","","0x6afee2429898ddaa43b92e5e114afb0ca62f34cb755e3280f55777472599f5fb","0x6723e23f3eef5684d9554a010085ddc4e10d219feab53b90d1bd52739172b7bf",true
"2-revocation-finalized-before-authorization","revokeConsent,authorization","revokeConsent; authorization rejected before inclusion","","","21","0","2","0x6423121207bd79ae6ec872b19a9773176c15c48da71a023fa112633ebd2603a1","denied","VCEMAudit: consent inactive","","0x69b776e94fe366dbcd3d3520ef91269df3996cc9e1289a6d1a9ac2e76ce8a1d4",true
"3-request-prepared-before-revocation-processed-after","revokeConsent,authorization","revokeConsent; authorization rejected before inclusion","","","32","0","2","0xdebd9bcb31c6c8baa4f0df63b6c8133f2cfcbfd096e7aa062b5a6ee315f4178f","denied","VCEMAudit: consent inactive","","0x49f7c308e2e66fc1ad0b9430f8208453f087ac53bce2b85eba4926570944dc47",true
"4-superseded-consent-after-update","updateConsent,stale authorization","updateConsent; authorization rejected before inclusion","","","43","0","2","0xcd963ecdee5f4b94ba24fc05525bf5c6391a022c980c9f007cb4419d1a663c9e","denied","VCEMAudit: outdated consent hash","","0xf5e9c4917a1235d5b3f430dd8067c3e92cc7297df185ef0cea744de81ebf3d77",true
"5A-same-block-authorization-before-revocation","authorization,revokeConsent","authorization,revokeConsent","54","0","54","1","1","0xa7b739444387c9b884aa668655a3e6253c0aad4fd8dc5e19682884f26fd8abad","authorized","","0xe8759cd2899794ace962ff81e9181972a50307410c42079f8b4866b9f8c167e4","0x05d19935aa0ed501bb807d5b10fdff4badd6429bc87b129624f63397ce3184a5",true
"5B-same-block-revocation-before-authorization","revokeConsent,authorization","revokeConsent,authorization","64","1","64","0","2","0x68f53c56bb6dbbccbb8a602cc26cd2849740850b1feaddabea33097cfcde2fea","denied","VCEMAudit: consent inactive","0x5e038fcfff77fb49b1c22823f2ca6a49b5156a47dc70bd2a633521e5520f8f51","0xa373b8b724faaea349bbe9d1053a143e238afc9856a21748b1bd0dbe9356852d",true
"5C-revocation-submitted-first-authorization-ordered-first","revokeConsent,authorization","authorization,revokeConsent","74","0","74","1","1","0x7c9af310cd15249b7d50b78bef688d7bebf866010036fb196cf7305e4b3d57be","authorized","","0xd5340f75f5ef4d35703dbd4ab0710ee8719eca70c9a38babc60b191fa6b63f01","0xb1e24e5dff6de6c392b582f57625c3ac9e618351a7da42cbf1c588e3c463f6f6",true
"5D-authorization-submitted-first-revocation-ordered-first","authorization,revokeConsent","revokeConsent,authorization","84","1","84","0","2","0xb156df8756de92a8de34ad860383670418108f24438be3cb452dc3b50b330cca","denied","VCEMAudit: consent inactive","0x02a67d8db9b596f84a62f88a5adb82ab01e28393b2bae7a8d308575db822febe","0xaa7ff31c57674cbe63292bcb1d31d9096654c152ee8f223c0038a4503e067c3f",true
