test_case,original_hash,test_hash,participant,scope,expected_result,actual_result,exact_rejection_or_mismatch_reason,pass
"baseline positive","0x2d2288301bba1d4a2ffc66b9cd16585a4615b06f67da79fc6eab915fb06d5a6f","0x2d2288301bba1d4a2ffc66b9cd16585a4615b06f67da79fc6eab915fb06d5a6f","0x0a5b376396de211c445c9b1cae3bfe246abb2940954c152e03beb8ba3b652767","0xce92b0367ed68be8e598825761b00247894c42b1b990b1bfc4573a0ca794c153","MATCH","MATCH","SHA-256(raw artifact bytes) equals registered participant/scope data hash",true
"single-byte modification","0x2d2288301bba1d4a2ffc66b9cd16585a4615b06f67da79fc6eab915fb06d5a6f","0xe752cbd97c55bd40dd319a61312f67e7aaacc111212e87da6c9eb8954c2b0f0b","0x0a5b376396de211c445c9b1cae3bfe246abb2940954c152e03beb8ba3b652767","0xce92b0367ed68be8e598825761b00247894c42b1b990b1bfc4573a0ca794c153","TAMPERED","TAMPERED","byte offset 138 changed from 0x32 to 0x33; SHA-256 mismatch",true
"metadata modification","0x2d2288301bba1d4a2ffc66b9cd16585a4615b06f67da79fc6eab915fb06d5a6f","0xef20df811736bae9e027fdefc7a639172f5594075d4952ef0a24d103d140d3db","0x0a5b376396de211c445c9b1cae3bfe246abb2940954c152e03beb8ba3b652767","0xce92b0367ed68be8e598825761b00247894c42b1b990b1bfc4573a0ca794c153","TAMPERED","TAMPERED","metadata.source is inside the hashed raw bytes; SHA-256 mismatch",true
"canonicalization/serialization change","0x2d2288301bba1d4a2ffc66b9cd16585a4615b06f67da79fc6eab915fb06d5a6f","0x106185f1a1701ca206a6f24a271019916dfe9f9333657ae573fe2b0814bd1f4d","0x0a5b376396de211c445c9b1cae3bfe246abb2940954c152e03beb8ba3b652767","0xce92b0367ed68be8e598825761b00247894c42b1b990b1bfc4573a0ca794c153","TAMPERED","TAMPERED","semantically equivalent JSON was pretty-printed; raw-byte hashing is serialization-sensitive; SHA-256 mismatch",true
"deliberately substituted artifact","0x2d2288301bba1d4a2ffc66b9cd16585a4615b06f67da79fc6eab915fb06d5a6f","0x0b08cb5e2f2358c92f49f257c80257cfc3227641010a22dc68d846c70542a49e","0x0a5b376396de211c445c9b1cae3bfe246abb2940954c152e03beb8ba3b652767","0xce92b0367ed68be8e598825761b00247894c42b1b990b1bfc4573a0ca794c153","TAMPERED","TAMPERED","different synthetic artifact bytes supplied; SHA-256 mismatch",true
"wrong participant association","0x2d2288301bba1d4a2ffc66b9cd16585a4615b06f67da79fc6eab915fb06d5a6f","0x2d2288301bba1d4a2ffc66b9cd16585a4615b06f67da79fc6eab915fb06d5a6f","0xa871e50108e78294c2e7d762dbf603768c320351b5edc6c31a41446efd192732","0xce92b0367ed68be8e598825761b00247894c42b1b990b1bfc4573a0ca794c153","REJECTED","REJECTED","VCEMAudit: data hash denied",true
"wrong scope","0x2d2288301bba1d4a2ffc66b9cd16585a4615b06f67da79fc6eab915fb06d5a6f","0x2d2288301bba1d4a2ffc66b9cd16585a4615b06f67da79fc6eab915fb06d5a6f","0x0a5b376396de211c445c9b1cae3bfe246abb2940954c152e03beb8ba3b652767","0x39b710c6afa63125d1add5c4dc64af8a57391b4734d55d408c14515d683fb577","REJECTED","REJECTED","VCEMAudit: scope denied",true
"stale data hash","0x2d2288301bba1d4a2ffc66b9cd16585a4615b06f67da79fc6eab915fb06d5a6f","0x254a7c1b8b5501a048c401d506de29b0fdacae039be83ea0710721e78bc318f9","0x0a5b376396de211c445c9b1cae3bfe246abb2940954c152e03beb8ba3b652767","0xce92b0367ed68be8e598825761b00247894c42b1b990b1bfc4573a0ca794c153","REJECTED","REJECTED","VCEMAudit: data hash denied",true
